Name,Type,Date,Snapshots in the last three weeks,Day of year,Hours since last snapshot,Bugs fixed,Day of week
24w07a,snapshot,2024-02-14T12:51:01.000Z,4,44,166,6,3
,,2024-02-13T15:00:00.000Z,4,44,144,7,2
,,2024-02-12T15:00:00.000Z,4,43,120,2,1
,,2024-02-11T15:00:00.000Z,4,42,96,1,7
,,2024-02-10T15:00:00.000Z,4,41,72,1,6
,,2024-02-09T15:00:00.000Z,4,40,48,0,5
,,2024-02-08T15:00:00.000Z,4,39,24,1,4
24w06a,snapshot,2024-02-07T14:47:18.000Z,4,38,146,7,3
,,2024-02-06T15:00:00.000Z,5,37,122,4,2
,,2024-02-05T15:00:00.000Z,5,36,98,4,1
,,2024-02-04T15:00:00.000Z,5,35,74,2,7
,,2024-02-03T15:00:00.000Z,5,34,50,0,6
,,2024-02-02T15:00:00.000Z,5,33,26,4,5
24w05b,snapshot,2024-02-01T12:55:14.000Z,4,31,24,6,4
24w05a,snapshot,2024-01-31T13:05:26.000Z,3,31,167,1,3
,,2024-01-30T15:00:00.000Z,3,30,145,1,2
,,2024-01-29T15:00:00.000Z,3,29,121,0,1
,,2024-01-28T15:00:00.000Z,3,28,97,0,7
,,2024-01-27T15:00:00.000Z,3,27,73,0,6
,,2024-01-26T15:00:00.000Z,3,26,49,0,5
,,2024-01-25T15:00:00.000Z,3,25,25,4,4
24w04a,snapshot,2024-01-24T13:42:45.000Z,2,24,145,3,3
,,2024-01-23T15:00:00.000Z,2,23,122,3,2
,,2024-01-22T15:00:00.000Z,2,22,98,2,1
,,2024-01-21T15:00:00.000Z,2,21,74,0,7
,,2024-01-20T15:00:00.000Z,2,20,50,1,6
,,2024-01-19T15:00:00.000Z,2,19,26,7,5
24w03b,snapshot,2024-01-18T12:42:37.000Z,1,18,23,6,4
24w03a,snapshot,2024-01-17T13:19:20.000Z,0,17,718,3,3
,,2024-01-16T15:00:00.000Z,0,16,695,17,2
,,2024-01-15T15:00:00.000Z,0,15,671,1,1
,,2024-01-14T15:00:00.000Z,0,14,647,0,7
,,2024-01-13T15:00:00.000Z,0,13,623,2,6
,,2024-01-12T15:00:00.000Z,0,12,599,1,5
,,2024-01-11T15:00:00.000Z,0,11,575,2,4
,,2024-01-10T15:00:00.000Z,0,10,551,1,3
,,2024-01-09T15:00:00.000Z,0,9,527,1,2
,,2024-01-08T15:00:00.000Z,1,8,503,5,1
,,2024-01-07T15:00:00.000Z,2,7,479,0,7
,,2024-01-06T15:00:00.000Z,2,6,455,0,6
,,2024-01-05T15:00:00.000Z,2,5,431,2,5
,,2024-01-04T15:00:00.000Z,2,4,407,4,4
,,2024-01-03T15:00:00.000Z,2,3,383,26,3
,,2024-01-02T15:00:00.000Z,2,2,359,5,2
,,2024-01-01T15:00:00.000Z,2,1,335,0,1
,,2023-12-31T15:00:00.000Z,2,365,311,0,7
,,2023-12-30T15:00:00.000Z,2,364,287,1,6
,,2023-12-29T15:00:00.000Z,2,363,263,0,5
,,2023-12-28T15:00:00.000Z,2,362,239,0,4
,,2023-12-27T15:00:00.000Z,3,361,215,0,3
,,2023-12-26T15:00:00.000Z,4,360,191,0,2
,,2023-12-25T15:00:00.000Z,4,359,167,0,1
,,2023-12-24T15:00:00.000Z,5,358,143,2,7
,,2023-12-23T15:00:00.000Z,5,357,119,0,6
,,2023-12-22T15:00:00.000Z,5,356,95,3,5
,,2023-12-21T15:00:00.000Z,5,355,71,4,4
,,2023-12-20T15:00:00.000Z,6,354,47,1,3
,,2023-12-19T15:00:00.000Z,6,353,23,1,2
23w51b,snapshot,2023-12-18T15:39:14.000Z,6,352,2,3,1
23w51a,snapshot,2023-12-18T13:36:46.000Z,6,352,265,3,1
,,2023-12-17T15:00:00.000Z,6,351,242,0,7
,,2023-12-16T15:00:00.000Z,6,350,218,0,6
,,2023-12-15T15:00:00.000Z,6,349,194,1,5
,,2023-12-14T15:00:00.000Z,6,348,170,1,4
,,2023-12-13T15:00:00.000Z,6,347,146,2,3
,,2023-12-12T15:00:00.000Z,7,346,122,12,2
,,2023-12-11T15:00:00.000Z,8,345,98,0,1
,,2023-12-10T15:00:00.000Z,8,344,74,0,7
,,2023-12-09T15:00:00.000Z,8,343,50,0,6
,,2023-12-08T15:00:00.000Z,8,342,26,7,5
1.20.4,release,2023-12-07T12:56:20.000Z,8,341,22,6,4
1.20.4-rc1,snapshot,2023-12-06T14:38:01.000Z,7,340,50,6,3
,,2023-12-05T15:00:00.000Z,7,339,27,17,2
