Name,Type,Date,Snapshots in the last three weeks,Day of year,Hours since last snapshot,Bugs fixed,Day of week
1.20.5-rc3,snapshot,2024-04-22T13:42:34.000Z,7,112.3052,72.4886,1,1
,,2024-04-21T14:00:00.000Z,8,111.3200,48.7792,5,7
,,2024-04-20T14:00:00.000Z,8,110.3227,24.7792,3,6
1.20.5-rc2,snapshot,2024-04-19T13:13:15.000Z,7,109.2931,25.4597,5,5
1.20.5-rc1,snapshot,2024-04-18T11:45:40.000Z,6,108.2352,23.8272,2,4
1.20.5-pre4,snapshot,2024-04-17T11:56:02.000Z,6,107.2451,23.9756,5,3
1.20.5-pre3,snapshot,2024-04-16T11:57:30.000Z,5,106.2488,23.3569,13,2
1.20.5-pre2,snapshot,2024-04-15T12:36:05.000Z,4,105.2783,119.8611,10,1
,,2024-04-14T14:00:00.000Z,4,104.3391,97.2597,0,7
,,2024-04-13T14:00:00.000Z,4,103.3419,73.2597,0,6
,,2024-04-12T14:00:00.000Z,4,102.3446,49.2597,27,5
,,2024-04-11T14:00:00.000Z,4,101.3473,25.2597,13,4
1.20.5-pre1,snapshot,2024-04-10T12:44:25.000Z,4,100.2977,168.9128,16,3
,,2024-04-09T14:00:00.000Z,4,99.3528,146.1725,10,2
,,2024-04-08T14:00:00.000Z,4,98.3555,122.1725,11,1
,,2024-04-07T14:00:00.000Z,4,97.3583,98.1725,0,7
,,2024-04-06T14:00:00.000Z,4,96.3610,74.1725,0,6
,,2024-04-05T14:00:00.000Z,4,95.3637,50.1725,2,5
,,2024-04-04T14:00:00.000Z,5,94.3665,26.1725,16,4
24w14a,snapshot,2024-04-03T11:49:39.000Z,4,93.2789,48.7056,16,3
,,2024-04-02T14:00:00.000Z,4,92.3719,26.8781,4,2
24w14potato,snapshot,2024-04-01T11:07:19.000Z,3,91.2551,116.6164,0,1
,,2024-03-31T14:00:00.000Z,3,90.3774,95.4944,0,7
,,2024-03-30T14:00:00.000Z,3,89.3801,71.4944,0,6
,,2024-03-29T14:00:00.000Z,3,88.3829,47.4944,1,5
,,2024-03-28T14:00:00.000Z,3,87.3856,23.4944,4,4
24w13a,snapshot,2024-03-27T14:30:20.000Z,2,86.4093,167.8619,13,3
,,2024-03-26T15:00:00.000Z,3,85.4326,144.3564,2,2
,,2024-03-25T15:00:00.000Z,3,84.4353,120.3564,1,1
,,2024-03-24T15:00:00.000Z,3,83.4381,96.3564,0,7
,,2024-03-23T15:00:00.000Z,3,82.4408,72.3564,2,6
,,2024-03-22T15:00:00.000Z,3,81.4435,48.3564,4,5
,,2024-03-21T15:00:00.000Z,3,80.4463,24.3564,9,4
24w12a,snapshot,2024-03-20T14:38:37.000Z,2,79.4342,144.2844,23,3
,,2024-03-19T15:00:00.000Z,3,78.4517,120.6408,5,2
,,2024-03-18T15:00:00.000Z,3,77.4545,96.6408,4,1
,,2024-03-17T15:00:00.000Z,3,76.4572,72.6408,0,7
,,2024-03-16T15:00:00.000Z,3,75.4599,48.6408,1,6
,,2024-03-15T15:00:00.000Z,3,74.4627,24.6408,1,5
24w11a,snapshot,2024-03-14T14:21:33.000Z,2,73.4388,195.7328,10,4
,,2024-03-13T15:00:00.000Z,2,72.4681,172.3736,3,3
,,2024-03-12T15:00:00.000Z,2,71.4709,148.3736,2,2
,,2024-03-11T15:00:00.000Z,2,70.4736,124.3736,19,1
,,2024-03-10T15:00:00.000Z,2,69.4763,100.3736,0,7
,,2024-03-09T15:00:00.000Z,2,68.4791,76.3736,0,6
,,2024-03-08T15:00:00.000Z,2,67.4818,52.3736,10,5
,,2024-03-07T15:00:00.000Z,2,66.4845,28.3736,0,4
24w10a,snapshot,2024-03-06T10:37:35.000Z,2,65.3055,165.9897,17,3
,,2024-03-05T15:00:00.000Z,2,64.4900,146.3633,19,2
